,title,link
0,Control Tower Analyst at Maersk Line,https://www.myjobmag.co.ke/job/control-tower-analyst-maersk-line
1,Business Executives (Production) at Switch TV,https://www.myjobmag.co.ke/job/business-executives-production-switch-tv
2,Business Executives (Events) at Switch TV,https://www.myjobmag.co.ke/job/business-executives-events-switch-tv
3,Business Executives (Digital) at Switch TV,https://www.myjobmag.co.ke/job/business-executives-digital-switch-tv
4,"Analyst, Kenya Commercial Forestry Programme - Gatsby Africa at Cedar Consulting Ltd",https://www.myjobmag.co.ke/job/kenya-national-commission-for-unesco
5,Credit Analyst at M-Kopa Solar,https://www.myjobmag.co.ke/job/credit-analyst-m-kopa-solar-1
6,Funding Operations Analyst at Luminate,https://www.myjobmag.co.ke/job/funding-operations-analyst-luminate
7,Chief Business Officer at Sanergy,https://www.myjobmag.co.ke/job/chief-business-officer-sanergy-1
8,Senior Financial Analyst at BURN,https://www.myjobmag.co.ke/job/senior-financial-analyst-burn
9,Business Development Manager at Corporate Staffing,https://www.myjobmag.co.ke/job/business-development-manager-corporate-staffing-7
10,Business Banking Senior Relationship Manager at NCBA Group,https://www.myjobmag.co.ke/job/business-banking-senior-relationship-manager-ncba-group-1
11,Business Process Analyst at NCBA Group,https://www.myjobmag.co.ke/job/business-process-analyst-ncba-group-1
12,Data Intelligence Analyst at Sun King (Formerly Greenlight Planet),https://www.myjobmag.co.ke/job/data-intelligence-analyst-greenlight-planet-2
13,"Principal Programmer Analyst - Home-Based/Flex, EMEA at Pharmaceutical Product Development (PPD)",https://www.myjobmag.co.ke/job/principal-programmer-analyst-home-based-flex-emea-pharmaceutical-product-development-ppd
14,Principal Programmer Analyst - BITS (Remote/Office/Flex) at Pharmaceutical Product Development (PPD),https://www.myjobmag.co.ke/job/principal-programmer-analyst-bits-remote-office-flex-pharmaceutical-product-development-ppd
15,Senior Programmer Analyst – CDISC SDTM Specialist Using SAS at Pharmaceutical Product Development (PPD),https://www.myjobmag.co.ke/job/senior-programmer-analyst-cdisc-sdtm-specialist-using-sas-pharmaceutical-product-development-ppd
16,"Management and Programme Analyst, P3 at United Nations Environment Programme (UNEP)",https://www.myjobmag.co.ke/job/management-and-programme-analyst-p3-united-nations-environment-programme-unep
17,Program Analyst Women’s Rights at Open Society Initiative for Eastern Africa,https://www.myjobmag.co.ke/job/program-analyst-women-s-rights-open-society-initiative-for-eastern-africa
18,Business Development Advisor - Finance & Tax at African Entrepreneur Collective (AEC),https://www.myjobmag.co.ke/job/business-development-advisor-finance-tax-african-entrepreneur-collective-aec
19,Business Development Proposal Manager at International Livestock Research Institute (ILRI),https://www.myjobmag.co.ke/job/business-development-proposal-manager-international-livestock-research-institute-ilri
20,Finance System Analyst at Plan International,https://www.myjobmag.co.ke/job/finance-system-analyst-plan-international
21,Commercial Analyst at Roche Kenya,https://www.myjobmag.co.ke/job/commercial-analyst-roche-kenya
22,JavaScript and API Developer at Suntech Business Solutions,https://www.myjobmag.co.ke/job/javascript-and-api-developer-suntech-business-solutions
23,"Management and Programme Analyst, P3 at United Nations Environment Programme (UNEP)",https://www.myjobmag.co.ke/job/management-and-programme-analyst-p3-k-unity
24,Senior D365 & Finance Analyst at Old Mutual Kenya,https://www.myjobmag.co.ke/job/old-mutual-kenya-8
25,Partnership and Business Development Associate at Mideva Labs,https://www.myjobmag.co.ke/job/mideva-labs
26,Investment Analyst at FSD Africa,https://www.myjobmag.co.ke/job/investment-analyst-fsd-africa-1
27,Senior Business Development Coordinator at Plan International,https://www.myjobmag.co.ke/job/senior-business-development-coordinator-plan-international-5
28,Human Resources Business Partner at Save the Children,https://www.myjobmag.co.ke/job/human-resources-business-partner-save-the-children-1
29,Risk & Independence Analyst at Deloitte Consulting,https://www.myjobmag.co.ke/job/risk-independence-analyst-deloitte-consulting-1
30,Treasury & M-PESA Operations Analyst at Safaricom Kenya,https://www.myjobmag.co.ke/job/treasury-m-pesa-operations-analyst-safaricom-kenya
31,Business Development Officer at NFT Consult,https://www.myjobmag.co.ke/job/business-development-officer-nft-consult-1
32,KYC Operations Analyst 1 - C09 at Citi,https://www.myjobmag.co.ke/job/kyc-operations-analyst-1-c09-citi-1
33,Continuity of Business(CoB) Coordinator East Africa at Citi,https://www.myjobmag.co.ke/job/continuity-of-business-cob-coordinator-east-africa-citi
34,Business Development Executive at Workforce Africa,https://www.myjobmag.co.ke/job/business-development-executive-workforce-africa
35,Business Development Officer at African Population and Health Research Center,https://www.myjobmag.co.ke/job/business-development-officer-african-population-and-health-research-center-1
36,Micro-Biology Analyst at Diageo,https://www.myjobmag.co.ke/job/micro-biology-analyst-diageo
37,Quality Analyst at Diageo,https://www.myjobmag.co.ke/job/diageo-3
38,"Business Development Manager, Trade Finance at KCB Bank Kenya",https://www.myjobmag.co.ke/job/business-development-manager-trade-finance-kcb-bank-kenya-4
39,Cybersecurity Analyst at KCB Bank Kenya,https://www.myjobmag.co.ke/job/cybersecurity-analyst-kcb-bank-kenya
40,"Analyst, Water Programme - Gatsby Africa at Cedar Consulting Ltd",https://www.myjobmag.co.ke/job/analyst-water-programme-gatsby-africa-cedar-consulting-ltd
41,Business Analyst at Open Institute,https://www.myjobmag.co.ke/job/open-institute
42,Senior ICT officer-Oracle E Business Suite at Reeds Africa Consult,https://www.myjobmag.co.ke/job/senior-ict-officer-oracle-e-business-suite-reeds-africa-consult
43,Internship - Business Development (For Current Students) at Visa,https://www.myjobmag.co.ke/job/internship-business-development-for-current-students-visa-1
44,Freelance Business Solutions Executives at Nation Media Group,https://www.myjobmag.co.ke/job/freelance-business-solutions-executives-nation-media-group-1
